Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 14:19:09,870] Trial 1 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 321, 'max_depth': 5, 'learning_rate': 0.0904125196866701, 'scale_pos_weight': 540.1687706040827}. Best is trial 1 with value: 0.8543689320388349.
[I 2026-05-14 14:19:15,522] Trial 2 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 326, 'max_depth': 4, 'learning_rate': 0.12043377016772422, 'scale_pos_weight': 493.15817865347185}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:20,796] Trial 3 finished with value: 0.7244094488188977 and parameters: {'n_estimators': 161, 'max_depth': 5, 'learning_rate': 0.05166333468858119, 'scale_pos_weight': 452.8447255902105}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:24,284] Trial 4 finished with value: 0.28895184135977336 and parameters: {'n_estimators': 199, 'max_depth': 3, 'learning_rate': 0.060116755352480955, 'scale_pos_weight': 563.8509163899932}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:25,812] Trial 5 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 396, 'max_depth': 5, 'learning_rate': 0.06886508183621037, 'scale_pos_weight': 495.3744113898372}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:30,497] Trial 6 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 199, 'max_depth': 7, 'learning_rate': 0.16089113941065394, 'scale_pos_weight': 496.170835295188}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:33,535] Trial 7 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 120, 'max_depth': 5, 'learning_rate': 0.10904856833580402, 'scale_pos_weight': 583.0479173818228}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:36,560] Trial 8 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 313, 'max_depth': 4, 'learning_rate': 0.13411682438060685, 'scale_pos_weight': 515.8125770736458}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:40,899] Trial 9 finished with value: 0.822429906542056 and parameters: {'n_estimators': 281, 'max_depth': 5, 'learning_rate': 0.05454999595146145, 'scale_pos_weight': 491.56346378285974}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:44,122] Trial 10 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 361, 'max_depth': 3, 'learning_rate': 0.18083990534475725, 'scale_pos_weight': 422.3983940015486}. Best is trial 2 with value: 0.8627450980392157.
